component,lda_weight,rank,channel,weight,abs_weight
1,-1.6076753568630788,1,F8,1.339564448320669e-05,1.339564448320669e-05
1,-1.6076753568630788,2,F7,-1.1595036320275902e-05,1.1595036320275902e-05
1,-1.6076753568630788,3,T7,-7.797924616992808e-06,7.797924616992808e-06
1,-1.6076753568630788,4,Fp1,5.8153160635565044e-06,5.8153160635565044e-06
1,-1.6076753568630788,5,T8,4.766060813988498e-06,4.766060813988498e-06
2,2.3830285522061683,1,Fp1,1.6632735709012225e-05,1.6632735709012225e-05
2,2.3830285522061683,2,F8,-1.2362265353364918e-05,1.2362265353364918e-05
2,2.3830285522061683,3,F7,1.0212492701617362e-05,1.0212492701617362e-05
2,2.3830285522061683,4,T8,-6.731702585035809e-06,6.731702585035809e-06
2,2.3830285522061683,5,F3,5.136821323231159e-06,5.136821323231159e-06
3,-1.5651924235156014,1,Fp1,1.2338046947144812e-05,1.2338046947144812e-05
3,-1.5651924235156014,2,F8,1.1731353726299845e-05,1.1731353726299845e-05
3,-1.5651924235156014,3,T7,-6.253333210900776e-06,6.253333210900776e-06
3,-1.5651924235156014,4,O2,-4.722291106379447e-06,4.722291106379447e-06
3,-1.5651924235156014,5,O1,-4.019910431317043e-06,4.019910431317043e-06
4,3.3948835969133224,1,O1,7.040859617113226e-06,7.040859617113226e-06
4,3.3948835969133224,2,O2,5.186351972044325e-06,5.186351972044325e-06
4,3.3948835969133224,3,F8,-3.4238166351966468e-06,3.4238166351966468e-06
4,3.3948835969133224,4,C3,-2.5252472961843826e-06,2.5252472961843826e-06
4,3.3948835969133224,5,Cz,-2.1997065611320303e-06,2.1997065611320303e-06
5,-0.37880644805976854,1,F3,-4.929402981367648e-06,4.929402981367648e-06
5,-0.37880644805976854,2,C3,4.8817160879693545e-06,4.8817160879693545e-06
5,-0.37880644805976854,3,Fp1,3.307411812310489e-06,3.307411812310489e-06
5,-0.37880644805976854,4,F4,3.194621352210372e-06,3.194621352210372e-06
5,-0.37880644805976854,5,F8,-2.9011174788969432e-06,2.9011174788969432e-06
6,-1.6910160223882489,1,Fp1,1.7096418024653528e-05,1.7096418024653528e-05
6,-1.6910160223882489,2,F8,7.350648082469437e-06,7.350648082469437e-06
6,-1.6910160223882489,3,O1,-6.613327887522652e-06,6.613327887522652e-06
6,-1.6910160223882489,4,Pz,-6.170737891997532e-06,6.170737891997532e-06
6,-1.6910160223882489,5,F7,5.155564365615094e-06,5.155564365615094e-06
